rule_filterlist_France,blocked_etld
?adTagId=,4
/delivery/*?bannerid=,3
_46860_ <+> /banner_46860. <+> _banner_46860. <+> /img/46860.,3
/ezais/dynamic?,3
/affiliate-butler-,3
.org/ads.,3
://ad.*?pid= <+> /adv/*?pid= <+> /ad-*/serve?pid=,3
/show_std.php?,3
/affiliates-landing-,3
://pub.*?zoneid= <+> ?r=*&zoneid= <+> /banner-*?zoneId= <+> ?zoneid=*&r=,3
?style=160x600- <+> =160x600_,3
/pub_iframe. <+> /ads-iframe- <+> /banner_iframe. <+> =iframe_pub& <+> /banner/iframe? <+> /pub_iframe_ <+> /Pub.php?iframe= <+> _pub_iframe. <+> /iframe_pub. <+> /iframe_pub_,3
/ad/*/iframe? <+> /ads/*/iframe?,3
_display_ad_ <+> /display/ads_ <+> /display/ads. <+> -display-ads_ <+> /popup-display-pub. <+> /display_pub. <+> /banner_display.,3
/publicites/* <+> /publicites.,3
/adrequest/*,3
/banger.js?cb=,3
/dfp/dfp. <+> /dfp_ad/* <+> /pub/dfp. <+> /js//dfp. <+> /iframe_dfp. <+> /pub/dfp/* <+> /pubs/dfp/*,3
/ads.*?site=,3
/banners/250X300. <+> /banner/250X300. <+> _250x300_,3
/delivery/ck.,3
.php?*&b=728x90 <+> /ads/*.php?_= <+> .php?*&bannerid*campaignid= <+> .php?*&b=160x600 <+> .php?*&b=468x60 <+> .php?*&b=300x250,3
?ADFassetID=,3
_adunit= <+> =adunit/,3
?pub_id= <+> .id/ads. <+> /banniere.php?id= <+> .adv?id=,3
/banners?tid=,3
://adss. <+> /adss.htm,3
//st-n.*/js/a.js,3
/ads?key= <+> /click.php?key=,3
/xpopup.,3
.aspx?adv=,3
/amazonaffiliate. <+> /amazonaffiliate-,3
-viewability.,3
_300_600.,3
/banner?sid=,3
/affiliate/*/banners/* <+> /affiliate.*/banner,3
://cdn.ads. <+> /cdn.adv. <+> /cdn-ads- <+> ://cdn.ad. <+> -ads-cdn. <+> /cdn/banners/*,3
/static/t/b.js <+> /static.ads- <+> /static-ads.,2
-240x90-,2
/videojs.adss. <+> /videojs-ads/*,2
/gfx/banners/*,2
?adRef=,2
||viamichelin.*/img/partners/,2
/adformat.,2
/ads/*-habillage- <+> /ads/*_habillage_,2
/comunes/ads/*,2
/autopromo.$domain=750g.com|alibabuy.com|allocine.fr|cap-cine.fr|chartsinfrance.net|cotecine.fr|easyvols.fr|easyvoyage.com|get-the-look.fr|jeuxactu.com|lebonguide.com|lestream.fr|millenium.gg|musiquemag.com|ozap.com|plurielles.fr|purebreak.com|purepeople.com|puretrend.com|shopoon.fr|terrafemina.com|villaschweppes.com,2
/ads?sz=,2
/AdsController.,2
/ntfc.php?p=,2
_adco_,2
/r18/banner/*,2
/livewebcam/?id_affilie=,2
/mobilead.,2
/adv-out/? <+> .fr/js/out.js <+> .com/js/out.js <+> /out?zoneid=,2
-970-x-90- <+> -970-x-250. <+> _970-x-90_ <+> _970_90_ <+> /970-x-90- <+> /970-x-90.,2
/72890.gif <+> /72890.js <+> /media/72890. <+> /pub_72890_,2
/728x90px. <+> /728x90px- <+> /728X90px_,2
