rule_filterlist_China,blocked_etld
||imgur.com^$domain=172.86.179.138|208.94.244.100|208.94.244.98|a88.us|ac168.info|ac88.info|aisex.com|cnnice.biz|go543.com,1
/assets/t_j/tongji.js,1
||fotao9.com^,1
||0322cfmtl.cc^,1
/Php/Home/kakaxiaikakaxi.php,1
||8feichai.com^,1
||cdncg.com^*/peiyinquan,1
||crxs.me/scripts/my_,1
||wujiupic.com^,1
||ityusio.top^,1
||tinypic.com^$domain=172.86.179.138|208.94.244.100|208.94.244.98|a88.us|ac168.info|ac88.info|aisex.com|cnnice.biz|go543.com,1
/jianpian.obs.cn-,1
||555bbb333bbb.com^,1
||zol-img.com.cn/detail/js/module/app-download-float/script.js,1
||ivy.pconline.com.cn^,1
||upload.cc^$domain=141jj.com|mizhiav.com,1
/banner468x60_live173.,1
||kzepp.com^,1
||chinaz.com^*_g/,1
||pstatp.com^$domain=5217kdy1.xyz|ahah3.com|i5qs.com,1
||mpn56e.cn^,1
||crxs.me/upload/ad/,1
||cacafly.net^,1
||mmo2350.top^,1
||520click.com/ad.$domain=~video.520cc.cc,1
||dongchedi.com/motor/ad/,1
||3q1lsj.cn^,1
||cr173.com/js/,1
"||mediav.com^$third-party,domain=~dev.360.cn|~g.360.cn",1
/500ad/*,1
||adx.mala.cn^,1
||alicdn.com^$domain=1avlang.com|2334n.com|51dll.com|52kpop.com|5xx44.com|5xx77.com|63ef.com|69t41.com|7mav2.com|99a21.com|acglover.me|aotu101.com|ccxx99.com|dytt.com|hanfan.cc|jb51.net|jitapu.com|junying.com|jvhao.com|lady3.xyz|magnet2048.com|qingmanyong.com|qyl00.com|qyl222.com|spqi.xyz|supfree.net|that2.info|thztv.cc|ttww22.com|viidii.info|wenkuxiazai.com|xiaomingming.org|yuese46.com|yzz12.com,1
||dmm.aizhan.com^,1
||ali213.net/static/js/*_ali213tv.js,1
||titan007.com/js/indexshow.,1
||rmhfrtnd.com^$third-party,1
||img2.titan007.com^,1
||sina.com.cn/other/src/app/FinanceAppPics.js,1
||sohu.com/mdevp/*-advert/,1
||amradmin.5173.com^,1
||ruten.com.tw/js/gads_,1
||u21033.com^,1
||jnifdlaa.top^,1
||xylhwdu.com^,1
/gmu-download.oss-,1
||zfzys.top^,1
||777bbb222bbb.com^,1
||dy2018.com/js/tj.js,1
||gdt.qq.com^,1
.lu/ads/,1
||mmn811.top^,1
.js?advertID=,1
||uu22002.com^,1
||bjcathay.com/s?z=,1
||uu22662.com^,1
||eyny.com/data/cache/js_show_ads.js,1
||nfuwow.com/static/nfuwow/source/front/new/images/,1
.com/js/addp.js <+> .xyz/js/addp.js,1
||xoimg.com^$domain=18board.com|18p2p.com,1
.tw/ads/,1
||meijutt.*/js/pcjs/,1
||g1.tagtic.cn^,1
/advpic/* <+> /wap_advpic/*,1
/pj98co.oss-,1
||lianmeng.360.cn^$domain=~lianmeng.360.cn,1
||dsp.ali213.net^,1
.test15./,1
||zol.com.cn/adrs/,1
||g.163.com/*&affiliate=,1
||ax.ifeng.com^,1
"|http://gg.$third-party,domain=~guagua.cn",1
||sciencenet.cn/html/js/n,1
||adsmind.gdtimg.com^,1
||ad.52av.one^,1
||qpb*.sohu.com^,1
||eastmoney.com/banner/,1
||trip.com/partners/ad/,1
||ssp.hinet.net^,1
||images.sohu.com/bill/,1
||adv-sv-show.focus.cn^,1
||same.eastmoney.com^,1
||hoopchina.com.cn^*/ad-pc-sdk.,1
||cnfol.com/tui/,1
||gamemale.com/static/js/valida.js,1
||xn--1qwynp09f.net^,1
||qunar.com/vataframe/b.html?,1
||cnkang.com/showcodejsonp?,1
.com/static/js/ad.js,1
||sspai.com/api/v1/recommend*=article_,1
||yoyi.com.cn^$third-party,1
||pconline.com.cn/_hux_/,1
||souche.com^*.gif,1
||ifengimg.com/ifeng/sources/,1
||999xx999kk.com^,1
||bcebos.com/59x360x528.gif,1
/2016v2/js/adm2.js,1
.com/adv1/?q=,1
||qhemphox.com^,1
||163.com/special/*=ad_,1
||adutp.com^$third-party,1
||bt-tt.com/ad,1
||3dmgame.com/page/img/shangcheng,1
||gn01.top^,1
||dnn1300.top^,1
||digitaloceanspaces.com^*-Banner,1
||da.mgtv.com^,1
/adinfos?*&ane=pic1,1
||vibber.download^,1
||ja*.gamersky.com^,1
||a2.xinhuanet.com^,1
||imgtg.com^*.gif,1
||cnfol.com/index_new.php?id=,1
||stgowan.com^$third-party,1
/cm-pop-up-banners-,1
||dwfdsfkw.xyz^,1
||files.jb51.net/image/,1
||88lm06.com^,1
||geekbang.org/public/serving/,1
"||tanx.com^$third-party,domain=~1688.com|~alimama.com|~tmall.com|~www.taobao.com",1
||ifeng.com/a_if/,1
||kfpnqug.cn^,1
||kuaidi100.com/assets/ext?method=mainprofile,1
||ra6.xyz^,1
||discuz.gtimg.cn/cloud/scripts/discuz_tips.js,1
||atm.youku.com^,1
/tuiguang/*$domain=~jikexiu.com|~jikexiu.vip,1
||u33011.com^,1
||4399.com/jss/*coup.js,1
||nba55.cc^,1
/mobilegame/getroomapp?,1
||qunar.com/vata?chan=,1
||tq121.com.cn/j/ad/,1
||4gamers.com.tw/ads-,1
||zfp32.buzz^,1
||yt-adp.ws.126.net^,1
||sina.cn/cm/sinaads_,1
_btbttme/fox/img/QT_,1
||sohu.com/adgtr/,1
||bpztsxx.com^,1
||crxs.me/plugins/jquery.modal/,1
||pitawastarkani.com^,1
||duomai.com^$third-party,1
||hdjthzg.cn^,1
||vainews.cn^,1
||mcmod.cn/editor/upload/20221126/1669399546_2_ONBt.,1
